month_index,month_specific_c_alpha
0,17.900076285239145
1,27.438004978068477
2,31.51663911550981
3,31.88976476024021
4,36.976508597142626
5,43.04632822065953
6,45.44085688506783
7,42.22514959420192
8,48.17787678407266
9,50.04877686835915
10,52.23331052202611
11,54.120182716693314
12,58.9427908983827
13,62.32761041607665
14,60.295904818450936
15,64.71015645551935
16,68.61579829480185
17,69.70660601749256
18,69.71995830524747
19,72.6644796618788
20,69.5636873373766
21,81.68042848965192
22,84.22736478255482
23,90.52847521233325
24,96.31475398409208
25,97.44232253428792
26,97.77042586133116
27,99.39564686566416
28,106.25711644744449
29,108.47686150799329
30,113.80726964729172
31,120.64920794720281
32,119.55462498539626
33,126.96450672996801
34,119.17050402496238
35,122.71988646202895
36,124.20815023325311
37,127.68910723726565
38,131.18368645566844
39,127.92708348854791
40,130.28585211921387
41,136.2674401756487
42,141.54016224421838
43,147.63431056787607
44,145.0186990204565
45,147.00438175538414
46,145.0768888558546
47,154.94476646236902
48,161.6312465830006
49,155.6662451325144
50,158.7814188003663
51,159.38901533973882
52,154.40083163769327
53,157.90593341852312
54,156.36254106359456
55,155.8110693108515
56,160.7902152572124
57,163.05594607881818
58,163.01284031703543
59,163.36433630727166
60,164.57092871809405
61,161.74668503654527
62,161.311522610252
63,163.97959575263755
64,163.80878348795636
65,172.3042803659959
66,165.26932208325672
67,164.0941515692214
68,165.62170737678488
69,163.4155927823951
70,168.62431909803837
71,172.3811829749793
72,174.25435785127164
73,179.32733191677363
74,185.11073831113015
75,189.18247450499553
76,193.59284964540578
77,189.01884300549816
78,185.8751398516978
79,183.05151377003995
80,180.5806379077746
81,190.47846914784807
82,191.1750173810237
83,194.94501831878043
84,195.37656636441963
85,194.85251797840195
86,191.7720293875286
87,199.09742025147767
88,204.13307378073614
89,206.24922206953607
90,205.52349559574367
91,206.98541381270618
92,209.43664195219645
93,206.0366437844452
94,210.4552178919392
95,214.389201706458
96,214.47486103044236
97,211.74389045497338
98,218.1974006457463
99,223.38921016541292
100,224.17462827386396
101,228.70168238367708
102,227.32513220730456
103,222.8804645814772
104,230.14580018184577
105,236.45242812045691
106,242.5721749441293
107,257.21063222279344
108,249.1530019727307
109,254.99539353324522
110,256.8871122318603
111,240.25277672726193
112,246.13921728750034
113,247.37729513980463
114,246.79380288816924
115,246.11295074502812
116,245.2353718714157
117,246.81388947818238
118,247.381492415785
119,240.63326427747336
120,247.2814564196559
121,249.56998542777643
122,252.12190685202194
123,250.20032327101418
124,257.0643254204791
125,259.6204164711245
126,259.0400430379865
127,259.1171289759745
128,265.8859377652893
129,262.08823498509867
130,268.41053142965825
131,281.5120943216899
132,291.669235765954
133,287.3797248197023
134,288.4106857499758
135,294.3598302545018
136,303.1712311444519
137,300.4051118726675
138,298.70404697358987
139,308.06989051279015
140,324.2002774683639
141,317.50582310792055
142,314.65452086697053
143,317.75506120815334
144,321.6865387511416
145,321.888047973371
146,330.32745801501216
147,324.32297760377196
148,322.8914277485063
149,333.8023216042239
150,342.653786625737
151,349.3323487820988
152,346.01623897411895
153,344.6967135633129
154,349.92693289180045
155,370.58485936602693
156,370.6239977598823
157,348.3700567627947
158,364.39896737467154
159,354.9180778095819
160,350.7117416259862
161,352.10842451297043
162,350.7675164322903
163,355.79178487879904
164,354.62793081475496
165,344.4758832573182
166,346.1736787427461
167,341.59637289439866
168,346.6706125864749
169,361.2614165682947
170,361.4472757473914
171,353.2061824342372
172,354.90844915017084
173,361.2152874166691
174,353.44825095219466
175,352.9158413293168
176,364.8451477179167
177,361.40703365911867
178,359.55311788297195
179,366.4031887541168
180,377.1148601875924
181,373.66220721173755
182,373.6583091427654
183,376.910896774185
184,383.41878982299056
185,379.6133553224612
186,391.5942523484503
187,388.5751958442798
188,388.94372769402054
189,394.4238960941385
190,386.86008053114165
191,401.46949734961277
192,395.1952344829283
193,409.0799071944039
194,409.8059827242254
195,415.0142677314985
196,426.43859416658245
197,438.75015270463217
198,436.7556726594729
199,435.9545830601525
200,432.436341356858
201,436.8477756914088
202,429.47553851164656
203,417.3227784650733
204,428.6093107401482
205,424.49310219355783
206,424.032198713166
207,420.15520310109156
208,429.2032403139703
209,420.1649245770406
210,422.9458338621515
211,412.1772327314598
212,426.70592048691555
