month_index,month_specific_c_alpha
0,6.420033266968469e-05
1,8.498198381943028e-05
2,0.00011057054400707652
3,0.00011558973127436952
4,0.00013165970232078747
5,0.00013566925279588404
6,0.00016033054639593827
7,0.00015965046826532723
8,0.00015245892945917354
9,0.00014596907174424588
10,0.00016710529926482336
11,0.0001715290726671388
12,0.0001707969937080142
13,0.0001767758210427489
14,0.00019157833445119067
15,0.00019466553601670965
16,0.00020979961077531356
17,0.00021406593941428545
18,0.00021771487840196435
19,0.00022188505317748217
20,0.0002149354242420553
21,0.00024228144296332868
22,0.00024601983267293564
23,0.0002477277083892779
24,0.00024993709034280435
25,0.0002523086996344489
26,0.00024083668281558846
27,0.000266488946511321
28,0.0002542891782066213
29,0.0002448032853446838
30,0.0002575492069475148
31,0.00026040589788307563
32,0.00026500125891362546
33,0.000291645407966938
34,0.0002910819442660786
35,0.0002907394019499085
36,0.0002934752933290617
37,0.00028989696066537466
38,0.0003023688348750318
39,0.00031170153895355903
40,0.00030978150072131583
41,0.0003178366300141439
42,0.00033182292465272045
43,0.0003234330412667329
44,0.0003487656838590825
45,0.00034446055390609026
46,0.0003454557724894209
47,0.0003678391593277912
48,0.000364143034524704
49,0.00036634100354115
50,0.00037437921516667895
51,0.00038363656254645183
52,0.0003800694285248446
53,0.0003902850134875057
54,0.00038681952545250404
55,0.0003860152460001167
56,0.00039846162936207707
57,0.0004134489092793453
58,0.00041650447975006503
59,0.00041094271911235915
60,0.00040365925549706497
61,0.00042034947535758254
62,0.00041375347685719023
63,0.0004211381847018099
64,0.0004111011896701121
65,0.0004128993891796213
66,0.0004281116069892602
67,0.00043653902109420565
68,0.0004206535270293267
69,0.0004490284046735385
70,0.00044379853757052745
71,0.00046959464154175585
72,0.00047921856793639323
73,0.0005110407099510474
74,0.00048039409722252943
75,0.0004984992455985248
76,0.0004903138624526445
77,0.0005022660606392724
78,0.0005097994169608815
79,0.0005289931598364931
80,0.000531884736608733
81,0.0005508579032596415
82,0.0005444143083279826
83,0.000557072400995348
84,0.0005480918331662346
85,0.000579316382761826
86,0.0005634570499713764
87,0.000565750561702585
88,0.0005583418288006136
89,0.0005671421097788034
90,0.0005770395184314846
91,0.0005713543809566799
92,0.0005770274974487466
93,0.0005755327730594973
94,0.0005727841635028869
95,0.0005583257152522169
96,0.0005851340554122496
97,0.0005823277736442819
98,0.0005947197344222175
99,0.0005919047588092065
100,0.0006207326026460789
101,0.0006054848432724701
102,0.0006042757092919803
103,0.000628059891454377
104,0.0006165650263215287
105,0.0006282464590139571
106,0.0006549842338988456
107,0.0006621076090246443
108,0.0006417278922444275
109,0.000620833213148082
110,0.0006451997480059954
111,0.0006302738102174439
112,0.0006282218356178409
113,0.0006345642061288613
114,0.0006362719532605921
115,0.0006223351432904016
116,0.0006333901027942284
117,0.0006254241733945459
118,0.0006501177332156494
119,0.0006468018144634342
120,0.0006517082739703852
121,0.000624801274413647
122,0.0006427426828218409
123,0.0006340778901719496
124,0.0006277087763528413
125,0.0006666987103423962
126,0.0006468947626358369
127,0.000674407289179486
128,0.0006892202885463373
129,0.0007081048400102667
130,0.0007174674509296571
131,0.0007311870009337838
132,0.0007381341594440895
133,0.0007092814189513706
134,0.0007126779357290079
135,0.0007458926590090029
136,0.0007649101862369985
137,0.0007723260150859704
138,0.0007748072551336107
139,0.0007465247621224668
140,0.0007310499842569698
141,0.0007352788982466176
142,0.000754719426678933
143,0.000758775219289947
144,0.0007679669969156717
145,0.0007454619207656288
146,0.0007546115878135693
147,0.0007782203454188277
148,0.0007912039939764401
149,0.0008257234865510015
150,0.0008098538750853443
151,0.0007939229530335919
152,0.0007889192089445406
153,0.000802181549456855
154,0.0008190131228887502
155,0.0008186239339924844
156,0.0008508494554258611
157,0.0008609516237871102
158,0.0008314016947746427
159,0.0008319235807657239
160,0.000863286926365025
161,0.0008731792190487063
162,0.0008723153290223259
163,0.0008586038529209383
164,0.0008294717610370391
165,0.0008376013428666892
166,0.0008553731965293017
167,0.000884998732876415
168,0.0008864697280751512
169,0.0009230283281320435
170,0.000909007979219177
171,0.0009305022783694903
172,0.000922198180518362
173,0.0009170598181303338
174,0.0009653170596855675
175,0.0009519227845883836
176,0.0009544979614927548
177,0.0009557539595175194
178,0.0009728259010091059
179,0.0009680276295071944
180,0.0010157725153259252
181,0.0010372333346171884
182,0.0009913986850064779
183,0.001013759196140846
184,0.0010317398431892778
185,0.0010090509726511318
186,0.001001278772373991
187,0.0009927274741687098
188,0.000978384323155803
189,0.0009602305163163031
190,0.000993111358468645
191,0.0010006503438192826
192,0.0009863179142321336
193,0.0009932972567015747
194,0.0009639201193305201
195,0.0009867777864165947
196,0.000985617000323848
197,0.0010207268634393014
198,0.0010257871436499203
199,0.0010106102635495792
200,0.001015416325471391
201,0.0010154652930259383
202,0.0010248876116905942
203,0.0010508643357943041
204,0.001064868083412736
205,0.0010660326132777567
206,0.0010927621413131736
207,0.00104987320197958
208,0.0010327097288986358
209,0.0010871482778573235
210,0.0010457786740406404
211,0.0010289085337006308
212,0.0010242274633362242
